Date : 2020-09-05 23:01:18
Directory : /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src
Total : 247 files,  10436 codes, 369 comments, 2314 blanks, all 13119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app/database/local                                                                                                                            |         11 |        630 |         16 |        173 |        819 |
| app/database/local/repositories                                                                                                               |          9 |        465 |         15 |        140 |        620 |
| app/pomodoro                                                                                                                                  |         11 |        563 |         16 |        127 |        706 |
| app/pomodoro/pomodoro                                                                                                                         |         10 |        554 |         16 |        123 |        693 |
| app/pomodoro/pomodoro/events                                                                                                                  |          1 |          6 |          0 |          3 |          9 |
| app/pomodoro/pomodoro/storage                                                                                                                 |          1 |         28 |          0 |          7 |         35 |
| app/shared                                                                                                                                    |         32 |        787 |         39 |        182 |      1,008 |
| app/shared/common                                                                                                                             |         15 |        239 |         33 |         63 |        335 |
| app/shared/common/filter                                                                                                                      |          4 |         50 |          0 |         14 |         64 |
| app/shared/common/keys                                                                                                                        |          1 |          8 |          0 |          1 |          9 |
| app/shared/common/lists                                                                                                                       |          1 |         83 |          2 |         15 |        100 |
| app/shared/common/order                                                                                                                       |          3 |         47 |         30 |         19 |         96 |
| app/shared/side-container                                                                                                                     |         16 |        539 |          6 |        115 |        660 |
| app/shared/side-container/labels                                                                                                              |         12 |        456 |          6 |         92 |        554 |
| app/shared/side-container/labels/adding                                                                                                       |          2 |         67 |          0 |         14 |         81 |
| app/shared/side-container/labels/common                                                                                                       |          2 |         45 |          1 |         16 |         62 |
| app/shared/side-container/labels/editing                                                                                                      |          2 |         58 |          1 |         16 |         75 |
| app/shared/side-container/labels/events                                                                                                       |          1 |          3 |          0 |          3 |          6 |
| app/shared/side-container/labels/removing                                                                                                     |          1 |         35 |          0 |          5 |         40 |
| app/summary                                                                                                                                   |         10 |        437 |          6 |        108 |        551 |
| app/summary/pomodoro-statistics                                                                                                               |          9 |        428 |          6 |        104 |        538 |
| app/summary/pomodoro-statistics/data-source                                                                                                   |          2 |         56 |          1 |         18 |         75 |
| app/summary/pomodoro-statistics/sorter                                                                                                        |          2 |         68 |          4 |         13 |         85 |
| app/tasks                                                                                                                                     |         96 |      4,661 |        110 |        926 |      5,697 |
| app/tasks/details-container                                                                                                                   |         42 |      2,012 |         33 |        379 |      2,424 |
| app/tasks/details-container/events                                                                                                            |          1 |          7 |          0 |          3 |         10 |
| app/tasks/details-container/project-details                                                                                                   |         14 |        666 |          9 |        117 |        792 |
| app/tasks/details-container/project-details/events                                                                                            |          4 |         18 |          0 |         12 |         30 |
| app/tasks/details-container/project-details/model                                                                                             |          4 |        122 |          1 |         33 |        156 |
| app/tasks/details-container/project-details/stage                                                                                             |          2 |         78 |          1 |         19 |         98 |
| app/tasks/details-container/stage-details                                                                                                     |          7 |        180 |          0 |         38 |        218 |
| app/tasks/details-container/stage-details/events                                                                                              |          2 |          7 |          0 |          6 |         13 |
| app/tasks/details-container/task-details                                                                                                      |         16 |      1,058 |         23 |        193 |      1,274 |
| app/tasks/details-container/task-details/events                                                                                               |          3 |         10 |          0 |          9 |         19 |
| app/tasks/details-container/task-details/labels                                                                                               |          2 |        129 |          5 |         30 |        164 |
| app/tasks/details-container/task-details/model                                                                                                |          4 |        109 |          2 |         35 |        146 |
| app/tasks/details-container/task-details/subtasks                                                                                             |          2 |        135 |          1 |         34 |        170 |
| app/tasks/lists-container                                                                                                                     |         23 |        693 |         28 |        200 |        921 |
| app/tasks/lists-container/projects                                                                                                            |         14 |        575 |         25 |        158 |        758 |
| app/tasks/lists-container/projects/adding                                                                                                     |          2 |         59 |          2 |         16 |         77 |
| app/tasks/lists-container/projects/common                                                                                                     |          4 |        113 |          2 |         36 |        151 |
| app/tasks/lists-container/projects/events                                                                                                     |          1 |         10 |          1 |          8 |         19 |
| app/tasks/lists-container/projects/filtering                                                                                                  |          2 |         65 |          1 |         17 |         83 |
| app/tasks/lists-container/projects/removing                                                                                                   |          1 |         35 |          0 |          8 |         43 |
| app/tasks/lists-container/special-lists                                                                                                       |          5 |         61 |          2 |         22 |         85 |
| app/tasks/lists-container/special-lists/events                                                                                                |          1 |          7 |          0 |          3 |         10 |
| app/tasks/tasks-container                                                                                                                     |         30 |      1,947 |         49 |        343 |      2,339 |
| app/tasks/tasks-container/events                                                                                                              |          2 |         11 |          0 |          6 |         17 |
| app/tasks/tasks-container/kanban                                                                                                              |          8 |        938 |         21 |        140 |      1,099 |
| app/tasks/tasks-container/kanban/controllers                                                                                                  |          3 |        238 |          8 |         28 |        274 |
| app/tasks/tasks-container/tasks                                                                                                               |         15 |        869 |         21 |        164 |      1,054 |
| app/tasks/tasks-container/tasks/adding                                                                                                        |          2 |         84 |          1 |         18 |        103 |
| app/tasks/tasks-container/tasks/common                                                                                                        |          3 |        100 |          5 |         20 |        125 |
| app/tasks/tasks-container/tasks/controllers                                                                                                   |          1 |         18 |          1 |          4 |         23 |
| app/tasks/tasks-container/tasks/filtering                                                                                                     |          2 |         85 |          3 |         20 |        108 |
| app/ui                                                                                                                                        |         14 |        284 |          4 |         80 |        368 |
| app/ui/widgets                                                                                                                                |         13 |        275 |          4 |         76 |        355 |
| app/ui/widgets/dialog                                                                                                                         |          4 |         42 |          0 |         11 |         53 |
| app/ui/widgets/timepicker                                                                                                                     |          8 |        219 |          4 |         62 |        285 |
| app/ui/widgets/timepicker/directives                                                                                                          |          3 |         36 |          2 |         17 |         55 |
| environments                                                                                                                                  |          2 |          6 |         11 |          4 |         21 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app-routing.module.ts                                                        | TypeScript |         26 |          0 |          5 |         31 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app.component.css                                                            | CSS        |          0 |          0 |          1 |          1 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app.component.html                                                           | HTML       |          1 |          0 |          0 |          1 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app.component.spec.ts                                                        | TypeScript |         31 |          0 |          5 |         36 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app.component.ts                                                             | TypeScript |          9 |          0 |          2 |         11 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/app.module.ts                                                                | TypeScript |        100 |          0 |          5 |        105 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/core.module.ts                                                          | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/main/component_control.ts                                               | TypeScript |         28 |          0 |          8 |         36 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/main/main.component.css                                                 | CSS        |         85 |          1 |         30 |        116 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/main/main.component.html                                                | HTML       |         27 |          2 |          4 |         33 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/main/main.component.spec.ts                                             | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/main/main.component.ts                                                  | TypeScript |        181 |         27 |         53 |        261 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/app/app.service.spec.ts                                        | TypeScript |         12 |          0 |          5 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/app/app.service.ts                                             | TypeScript |         35 |          1 |         14 |         50 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/task/task.service.spec.ts                                      | TypeScript |         12 |          0 |          5 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/task/task.service.ts                                           | TypeScript |         10 |          1 |          4 |         15 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/time/time.service.spec.ts                                      | TypeScript |         12 |          0 |          5 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/core/services/time/time.service.ts                                           | TypeScript |         14 |          0 |          6 |         20 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data.service.spec.ts                                                         | TypeScript |         12 |          0 |          5 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/data.service.ts                                                              | TypeScript |         14 |          1 |          6 |         21 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models.ts                                               | TypeScript |         20 |          0 |          7 |         27 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.column.result.ts                          | TypeScript |         17 |          0 |          5 |         22 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.kanban.task.result.ts                     | TypeScript |         17 |          0 |          7 |         24 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.project.result.ts                         | TypeScript |         33 |          0 |         10 |         43 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.subtask.result.ts                         | TypeScript |         17 |          0 |          3 |         20 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.task.data.ts                              | TypeScript |         31 |          0 |         11 |         42 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/models/insert.task.result.ts                            | TypeScript |         32 |          0 |          9 |         41 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/order/order.controller.ts                               | TypeScript |        130 |          2 |         18 |        150 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/order/status.order.controller.ts                        | TypeScript |         17 |          1 |          5 |         23 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/kanban_columns_repository.ts               | TypeScript |         11 |          0 |          2 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/kanban_tasks_repository.ts                 | TypeScript |         11 |          0 |          2 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/label_repository.ts                        | TypeScript |         11 |          0 |          2 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/orderable.repository.ts                    | TypeScript |         32 |          0 |          9 |         41 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/pomodoro_repository.ts                     | TypeScript |         12 |          1 |          2 |         15 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/project_repository.ts                      | TypeScript |         12 |          0 |          2 |         14 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/stage_repository.ts                        | TypeScript |         10 |          0 |          2 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/subtask_repository.ts                      | TypeScript |         10 |          0 |          2 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/task_labels_repository.ts                  | TypeScript |          9 |          0 |          2 |         11 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/repositories/task_repository.ts                         | TypeScript |         21 |          0 |          2 |         23 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/source.ts                                               | TypeScript |         20 |          0 |          1 |         21 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.column.store.ts                            | TypeScript |        101 |          2 |         12 |        115 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/kanban.task.store.ts                              | TypeScript |         99 |          3 |         23 |        125 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/label_store.ts                                    | TypeScript |         89 |          2 |         16 |        107 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/orderable.store.ts                                | TypeScript |          5 |          0 |          2 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/pomodoro_store.ts                                 | TypeScript |         34 |          0 |         12 |         46 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/project_store.ts                                  | TypeScript |        123 |          3 |         14 |        140 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/stage_store.ts                                    | TypeScript |         71 |          3 |         12 |         86 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/subtask_store.ts                                  | TypeScript |         56 |          0 |         13 |         69 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store/task_store.ts                                     | TypeScript |        277 |         13 |         34 |        324 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/common/store_manager.ts                                        | TypeScript |         54 |          1 |         13 |         68 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/kanban.ts                                               | TypeScript |         92 |          2 |         25 |        119 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/label.ts                                                | TypeScript |         21 |          0 |          6 |         27 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/orderable.item.ts                                       | TypeScript |         32 |          1 |         10 |         43 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/pomodoro.history.ts                                     | TypeScript |         37 |          0 |         11 |         48 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/priority.ts                                             | TypeScript |          7 |          0 |          0 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project.ts                                              | TypeScript |        103 |          0 |         26 |        129 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/project_type.ts                                         | TypeScript |          6 |          0 |          1 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/stage.ts                                                | TypeScript |         53 |          0 |         14 |         67 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/status.ts                                               | TypeScript |          6 |          0 |          2 |          8 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/subtask.ts                                              | TypeScript |         42 |          0 |         12 |         54 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.container.ts                                       | TypeScript |          4 |          0 |          2 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.item.ts                                            | TypeScript |          6 |          1 |          4 |         11 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/data/models/task.ts                                                 | TypeScript |        166 |          3 |         46 |        215 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/database.module.ts                                                  | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/database.ts                                                   | TypeScript |         95 |          0 |         17 |        112 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_columns_repository.ts                     | TypeScript |         45 |          1 |         14 |         60 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/kanban_tasks_repository.ts                       | TypeScript |         45 |          0 |         14 |         59 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/label_repository.ts                              | TypeScript |         43 |          0 |         15 |         58 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/pomodoro_repository.ts                           | TypeScript |         51 |          2 |         15 |         68 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/project_repository.ts                            | TypeScript |         57 |          3 |         17 |         77 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/stage_repository.ts                              | TypeScript |         54 |          1 |         14 |         69 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/subtask_repository.ts                            | TypeScript |         38 |          0 |         14 |         52 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/task_labels_repository.ts                        | TypeScript |         37 |          0 |         11 |         48 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/repositories/task_repository.ts                               | TypeScript |         95 |          8 |         26 |        129 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/database/local/source.ts                                                     | TypeScript |         70 |          1 |         16 |         87 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.module.ts                                                  | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/events/tick.event.ts                                       | TypeScript |          6 |          0 |          3 |          9 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/model.ts                                                   | TypeScript |         51 |          0 |         17 |         68 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.css                                     | CSS        |         60 |          0 |         12 |         72 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.html                                    | HTML       |         74 |          1 |          5 |         80 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.spec.ts                                 | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/pomodoro.component.ts                                      | TypeScript |        100 |          3 |         22 |        125 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/settings.ts                                                | TypeScript |         30 |          0 |          9 |         39 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/state.ts                                                   | TypeScript |          5 |          0 |          0 |          5 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/storage/settings.storage.ts                                | TypeScript |         28 |          0 |          7 |         35 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro/timer.ts                                                   | TypeScript |        180 |         12 |         42 |        234 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/date_formatter.ts                                              | TypeScript |          5 |          1 |          1 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/dialog.ts                                                      | TypeScript |          9 |          0 |          3 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/edit_input_handler.ts                                          | TypeScript |         11 |          0 |          2 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filter.ts                                               | TypeScript |         21 |          0 |          6 |         27 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filterable.list.ts                                      | TypeScript |          3 |          0 |          1 |          4 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filterable.ts                                           | TypeScript |          3 |          0 |          0 |          3 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/filter/filtered_list.ts                                        | TypeScript |         23 |          0 |          7 |         30 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/key_codes.ts                                                   | TypeScript |          4 |          0 |          1 |          5 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/keys/key_handler.ts                                            | TypeScript |          8 |          0 |          1 |          9 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/lists/tasks.list.ts                                            | TypeScript |         83 |          2 |         15 |        100 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/orderable.list.ts                                        | TypeScript |          3 |          0 |          2 |          5 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/ordered.list.ts                                          | TypeScript |          4 |         30 |         10 |         44 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/order/orderer.ts                                               | TypeScript |         40 |          0 |          7 |         47 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/values.ts                                                      | TypeScript |          6 |          0 |          4 |         10 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/common/view_helper.ts                                                 | TypeScript |         16 |          0 |          3 |         19 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/shared.module.ts                                                      | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/adding/label.adding.controller.ts               | TypeScript |         58 |          0 |         11 |         69 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/adding/label.adding.model.ts                    | TypeScript |          9 |          0 |          3 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/common/label_view_state.ts                      | TypeScript |         25 |          0 |          9 |         34 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/common/list.model.ts                            | TypeScript |         20 |          1 |          7 |         28 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/editing/label.editing.controller.ts             | TypeScript |         49 |          1 |         13 |         63 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/editing/label.editing.model.ts                  | TypeScript |          9 |          0 |          3 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/events/update.event.ts                          | TypeScript |          3 |          0 |          3 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.css                            | CSS        |         36 |          3 |         13 |         52 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.html                           | HTML       |        111 |          1 |          7 |        119 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.spec.ts                        | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/labels.component.ts                             | TypeScript |         81 |          0 |         12 |         93 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/labels/removing/label.removing.controller.ts           | TypeScript |         35 |          0 |          5 |         40 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.css                           | CSS        |         14 |          0 |          3 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.html                          | HTML       |         10 |          0 |          1 |         11 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/shared/side-container/side-container.component.ts                            | TypeScript |         39 |          0 |         13 |         52 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/data-source/project.data.source.ts               | TypeScript |         28 |          0 |          7 |         35 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/data-source/task.data.source.ts                  | TypeScript |         28 |          1 |         11 |         40 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/model.ts                                         | TypeScript |        174 |          1 |         39 |        214 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.css                | CSS        |          0 |          0 |          1 |          1 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.html               | HTML       |         44 |          0 |         11 |         55 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.spec.ts            | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/pomodoro-statistics.component.ts                 | TypeScript |         66 |          0 |         16 |         82 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/sorter/project.data.sorter.ts                    | TypeScript |         34 |          2 |          7 |         43 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/pomodoro-statistics/sorter/task.data.sorter.ts                       | TypeScript |         34 |          2 |          6 |         42 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/summary/summary.module.ts                                                    | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/details-container.component.css                      | CSS        |          6 |          1 |          1 |          8 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/details-container.component.html                     | HTML       |          8 |          0 |          1 |          9 |
